DATE,State,UR
2004-05-31,New Jersey,4.7
2004-06-30,New Jersey,5
2004-07-31,New Jersey,5.2
2004-08-31,New Jersey,4.5
2004-09-30,New Jersey,4.4
2004-10-31,New Jersey,4.2
2004-11-30,New Jersey,4
2004-12-31,New Jersey,3.9
2005-01-31,New Jersey,4.7
2005-02-28,New Jersey,5.1
2005-03-31,New Jersey,4.8
2005-04-30,New Jersey,4
2005-05-31,New Jersey,4
2005-06-30,New Jersey,4.3
2005-07-31,New Jersey,4.7
2005-08-31,New Jersey,4.2
2005-09-30,New Jersey,4.5
2005-10-31,New Jersey,4.3
2005-11-30,New Jersey,4.7
2005-12-31,New Jersey,4.6
2006-01-31,New Jersey,5.2
2006-02-28,New Jersey,5.4
2006-03-31,New Jersey,5.1
2006-04-30,New Jersey,4.9
2006-05-31,New Jersey,4.8
2006-06-30,New Jersey,4.8
2006-07-31,New Jersey,5.3
2006-08-31,New Jersey,4.7
2006-09-30,New Jersey,4.5
2006-10-31,New Jersey,3.9
2006-11-30,New Jersey,4.1
2006-12-31,New Jersey,3.9
2007-01-31,New Jersey,4.8
2007-02-28,New Jersey,4.7
2007-03-31,New Jersey,4.4
2007-04-30,New Jersey,4.2
2007-05-31,New Jersey,4.1
2007-06-30,New Jersey,4.2
2007-07-31,New Jersey,4.7
2007-08-31,New Jersey,4.1
2007-09-30,New Jersey,4.1
2007-10-31,New Jersey,3.9
2007-11-30,New Jersey,4
2007-12-31,New Jersey,4.3
2008-01-31,New Jersey,5.1
2008-02-29,New Jersey,5.1
2008-03-31,New Jersey,5
2008-04-30,New Jersey,4.5
2008-05-31,New Jersey,4.9
2008-06-30,New Jersey,5.1
2008-07-31,New Jersey,5.6
2008-08-31,New Jersey,5.4
2008-09-30,New Jersey,5.4
2008-10-31,New Jersey,5.5
2008-11-30,New Jersey,5.8
2008-12-31,New Jersey,6.6
2009-01-31,New Jersey,8
2009-02-28,New Jersey,8.6
2009-03-31,New Jersey,8.8
2009-04-30,New Jersey,8.5
2009-05-31,New Jersey,8.8
2009-06-30,New Jersey,9.3
2009-07-31,New Jersey,9.7
2009-08-31,New Jersey,9.3
2009-09-30,New Jersey,9.5
2009-10-31,New Jersey,9.4
2009-11-30,New Jersey,9.3
2009-12-31,New Jersey,9.5
2010-01-31,New Jersey,10.3
2010-02-28,New Jersey,10.3
2010-03-31,New Jersey,10.1
2010-04-30,New Jersey,9.4
2010-05-31,New Jersey,9.2
2010-06-30,New Jersey,9.3
2010-07-31,New Jersey,9.8
2010-08-31,New Jersey,9.3
2010-09-30,New Jersey,9.2
2010-10-31,New Jersey,9
2010-11-30,New Jersey,9.2
2010-12-31,New Jersey,9.1
2011-01-31,New Jersey,10
2011-02-28,New Jersey,9.9
2011-03-31,New Jersey,9.7
2011-04-30,New Jersey,9.1
2011-05-31,New Jersey,9.2
2011-06-30,New Jersey,9.5
2011-07-31,New Jersey,9.7
2011-08-31,New Jersey,9.2
2011-09-30,New Jersey,9.2
2011-10-31,New Jersey,9
2011-11-30,New Jersey,8.8
2011-12-31,New Jersey,8.9
2012-01-31,New Jersey,9.6
2012-02-29,New Jersey,9.7
2012-03-31,New Jersey,9.5
2012-04-30,New Jersey,9.2
2012-05-31,New Jersey,9.3
2012-06-30,New Jersey,9.6
2012-07-31,New Jersey,10
2012-08-31,New Jersey,9.4
2012-09-30,New Jersey,9
2012-10-31,New Jersey,8.9
2012-11-30,New Jersey,9
2012-12-31,New Jersey,8.9
2013-01-31,New Jersey,9.7
2013-02-28,New Jersey,9.2
2013-03-31,New Jersey,8.7
2013-04-30,New Jersey,8.2
2013-05-31,New Jersey,8.4
2013-06-30,New Jersey,8.6
2013-07-31,New Jersey,8.6
2013-08-31,New Jersey,8
2013-09-30,New Jersey,7.8
2013-10-31,New Jersey,7.6
2013-11-30,New Jersey,6.9
2013-12-31,New Jersey,6.7
2014-01-31,New Jersey,7.5
2014-02-28,New Jersey,7.7
2014-03-31,New Jersey,7.4
2014-04-30,New Jersey,6.3
2014-05-31,New Jersey,6.5
2014-06-30,New Jersey,6.5
2014-07-31,New Jersey,7.2
2014-08-31,New Jersey,6.8
2014-09-30,New Jersey,6.5
2014-10-31,New Jersey,6.3
2014-11-30,New Jersey,6.2
2014-12-31,New Jersey,6.1
2015-01-31,New Jersey,7
2015-02-28,New Jersey,6.9
2015-03-31,New Jersey,6.6
2015-04-30,New Jersey,5.9
2015-05-31,New Jersey,6.1
2015-06-30,New Jersey,6
2015-07-31,New Jersey,6.2
2015-08-31,New Jersey,5.5
2015-09-30,New Jersey,5.2
2015-10-31,New Jersey,4.9
2015-11-30,New Jersey,4.7
2015-12-31,New Jersey,4.5
2016-01-31,New Jersey,5.2
2016-02-29,New Jersey,5.3
2016-03-31,New Jersey,5.4
2016-04-30,New Jersey,5.1
2016-05-31,New Jersey,5
2016-06-30,New Jersey,5.2
2016-07-31,New Jersey,5.5
2016-08-31,New Jersey,5
2016-09-30,New Jersey,4.9
2016-10-31,New Jersey,4.6
2016-11-30,New Jersey,4.2
2016-12-31,New Jersey,4.2
2017-01-31,New Jersey,4.8
2017-02-28,New Jersey,4.9
2017-03-31,New Jersey,4.3
2017-04-30,New Jersey,3.9
2017-05-31,New Jersey,4.2
2017-06-30,New Jersey,4.3
2017-07-31,New Jersey,4.7
2017-08-31,New Jersey,4.8
2017-09-30,New Jersey,4.8
2017-10-31,New Jersey,4.7
2017-11-30,New Jersey,4.8
2017-12-31,New Jersey,4.1
